date,price
2019-09-06,759.0
2019-09-06,14.4
2019-09-06,759.0
2019-09-07,759.0
2019-09-08,759.0
2019-09-09,759.0
2019-09-10,759.0
2019-09-11,759.0
2019-09-12,759.0
2019-09-13,759.0
2019-09-14,700.0
2019-09-15,700.0
2019-09-16,700.0
2019-09-17,700.0
2019-09-18,700.0
2019-09-19,700.0
2019-09-20,700.0
2019-09-21,700.0
2019-09-22,700.0
2019-09-23,700.0
2019-09-24,700.0
2019-09-25,709.0
2019-09-26,709.0
2019-09-27,700.0
2019-09-28,700.0
2019-09-29,700.0
2019-09-30,709.0
2019-10-01,709.0
2019-10-02,709.0
2019-10-03,709.0
2019-10-04,709.0
2019-10-05,709.0
2019-10-06,709.0
2019-10-07,709.0
2019-10-08,709.0
2019-10-09,709.0
2019-10-10,709.0
2019-10-11,700.0
