date,price
2020-03-23,20.9
2020-03-24,20.9
2020-03-25,20.9
2020-03-26,20.9
2020-03-27,20.9
2020-03-28,20.9
2020-03-29,20.9
2020-03-30,20.9
2020-03-31,20.9
2020-04-01,20.9
2020-04-02,20.9
2020-04-03,20.9
2020-04-04,20.9
2020-04-05,20.9
2020-04-06,20.9
2020-04-07,20.9
2020-04-08,20.9
2020-04-09,20.9
2020-04-10,20.9
2020-04-11,20.9
2020-04-12,20.9
2020-04-13,20.9
2020-04-14,20.9
2020-04-15,20.9
2020-04-16,20.9
2020-04-17,20.9
2020-04-18,20.9
2020-04-19,20.9
2020-04-20,20.9
2020-04-21,20.9
2020-04-22,20.9
2020-04-23,20.9
2020-04-24,20.9
2020-04-25,20.9
2020-04-26,20.9
2020-04-27,20.9
2020-04-28,20.9
2020-04-29,20.9
2020-04-30,20.9
2020-05-01,20.9
2020-05-02,20.9
2020-05-03,20.9
2020-05-04,20.9
2020-05-05,20.9
2020-05-06,20.9
2020-05-08,20.9
2020-05-09,20.9
2020-05-10,20.9
2020-05-11,20.9
2020-05-12,20.9
2020-05-13,20.9
2020-05-14,20.9
2020-05-15,20.9
2020-05-16,20.9
2020-05-17,20.9
2020-05-18,20.9
2020-05-19,20.9
2020-05-20,20.9
2020-05-21,20.9
2020-05-22,20.9
2020-05-23,19.9
2020-05-24,19.9
2020-05-25,19.9
2020-05-26,19.9
2020-05-27,19.9
2020-05-28,19.9
2020-05-29,20.9
2020-05-30,20.9
2020-05-31,20.9
2020-06-01,20.9
2020-06-02,20.9
2020-06-03,20.9
2020-06-04,20.9
2020-06-05,20.9
2020-06-06,20.9
2020-06-07,20.9
2020-06-08,20.9
2020-06-09,20.9
2020-06-10,20.9
2020-06-11,20.9
2020-06-12,20.9
2020-06-13,20.9
2020-06-14,20.9
2020-06-15,20.9
2020-06-16,20.9
2020-06-17,20.9
2020-06-18,20.9
2020-06-19,20.9
2020-06-20,20.9
2020-06-21,20.9
2020-06-22,20.9
2020-06-23,20.9
2020-06-24,20.9
2020-06-25,20.9
2020-06-26,20.9
2020-06-27,20.9
2020-06-28,20.9
2020-06-29,20.9
2020-06-30,20.9
2020-07-01,20.9
2020-07-02,20.9
2020-07-03,20.9
2020-07-04,20.9
2020-07-05,20.9
2020-07-06,20.9
2020-07-07,20.9
2020-07-08,20.9
2020-07-09,20.9
2020-07-10,20.9
2020-07-11,20.9
2020-07-12,20.9
2020-07-13,20.9
2020-07-14,20.9
2020-07-15,20.9
2020-07-16,20.9
2020-07-17,20.9
2020-07-18,20.9
2020-07-19,20.9
2020-07-20,20.9
2020-07-21,20.9
2020-07-22,20.9
2020-07-23,20.6
2020-07-24,20.6
2020-07-25,20.6
2020-07-26,20.4
2020-07-27,20.4
2020-07-28,20.4
2020-07-29,20.4
2020-07-30,20.1
2020-07-31,20.1
2020-08-01,18.6
2020-08-02,18.6
2020-08-03,18.5
2020-08-04,18.5
2020-08-05,18.5
2020-08-06,18.5
2020-08-07,18.5
2020-08-08,18.3
2020-08-09,18.3
2020-08-10,18.3
2020-08-11,18.3
2020-08-12,18.3
2020-08-13,18.2
2020-08-14,18.2
2020-08-16,18.3
2020-08-17,18.3
2020-08-18,18.3
2020-08-19,18.3
2020-08-20,18.3
2020-08-21,18.3
2020-08-22,18.3
2020-08-23,18.2
2020-08-24,18.2
2020-08-25,18.2
2020-08-26,18.2
2020-08-27,18.3
2020-08-28,18.2
2020-08-29,18.2
2020-08-30,18.3
2020-08-31,18.3
2020-09-01,18.3
2020-09-02,18.3
